Skill,Count
 SQL,4
 Rapportering,3
 Microsoft Excel,3
Analysere data,3
 Prognoser,2
 Budsjettarbeid,2
 Norsk,2
 Python (dataprogrammering),2
 Mergers & Acquisitions (M&A),2
 Prosjekteringsledelse,2
 Bokføring,1
 Behandle data,1
 Teknikker for virksomhetsverdsetting,1
Agile Scrum,1
 Business-analyse,1
 Statistisk modellering,1
Amazon Web Services (AWS),1
 Forretningsstrategiplaner,1
Due Diligence,1
Administrere data,1
 Likviditetsstyring,1
 Lage prediktive modeller,1
 Databanksystemforståelse,1
Kontinuerlig forbedringsarbeid,1
 Markedsanalyse,1
Analyser av nøkkeltall,1
 Microsoft Power Point 2011,1
 IT Infrastructure Library (ITIL),1
 Konsekvensanalyse,1
 Finansanalyse,1
 Håndtere fusjoner og oppkjøp,1
 Data Modeling,1
 Planlegge software-testing,1
 Kontinuerlig forbedringsprosess (CIP),1
Corporate Finance,1
Behov og kravsanalyse,1
 ERP-systemer,1
 Standardisere prosesser,1
 Teknologiledelse,1
 Analysere data,1
 Data Warehouse,1
 Gode norsk- og engelskkunnskaper,1
Microsoft Excel,1
 Modellering (økonomi),1
 kvalitetssikring av data,1
 Treasury/Risk Management (FI-FSCM-TRM),1
 Analyse av forretningsdata,1
 Maskinlæringsmetoder,1
 Kunnskap om teknologi,1
 Prince 2 prosjektledelse metodikk,1
 Finansiell rapportering,1
 Power BI,1
 Risikostyring,1
 Controlling,1
 Prosjektstyringsmetodikk,1
 Bygge datadashboard,1
 Finansiell planlegging og analyse,1
